timestamp,value
12/10/2018,1951
12/11/2018,1949.5
12/12/2018,1928
12/13/2018,1924
12/14/2018,1908
12/17/2018,1937.5
12/18/2018,1940
12/19/2018,1928
12/20/2018,1923.5
12/21/2018,1920
12/24/2018,1898.5
12/27/2018,1898
12/28/2018,1881
12/31/2018,1869.5
1/2/2019,1858
1/3/2019,1825.5
1/4/2019,1879
1/7/2019,1858
1/8/2019,1837
1/9/2019,1842
1/10/2019,1844
1/11/2019,1816
1/14/2019,1775.5
1/15/2019,1810.5
1/16/2019,1839.5
1/17/2019,1804
1/18/2019,1851
1/21/2019,1842.5
1/22/2019,1867.5
1/23/2019,1877.5
1/24/2019,1851
1/25/2019,1866.5
1/28/2019,1860
1/29/2019,1853
1/30/2019,1871
1/31/2019,1880.5
2/1/2019,1872.5
2/4/2019,1840
2/5/2019,1896.5
2/6/2019,1886.5
2/7/2019,1862.5
2/8/2019,1865
2/11/2019,1848
2/12/2019,1840.5
2/13/2019,1840
2/14/2019,1829
2/15/2019,1828.5
2/18/2019,1822.5
2/19/2019,1833.5
2/20/2019,1829.5
2/21/2019,1858.5
2/22/2019,1890.5
2/25/2019,1886
2/26/2019,1870
2/27/2019,1898.5
2/28/2019,1893
3/1/2019,1890.5
3/4/2019,1859.5
3/5/2019,1868.5
3/6/2019,1846
3/7/2019,1841
3/8/2019,1848
3/11/2019,1830
3/12/2019,1851
3/13/2019,1873
3/14/2019,1873.5
3/15/2019,1868
3/18/2019,1879
3/19/2019,1907.5
3/20/2019,1923
3/21/2019,1891
3/22/2019,1867
3/25/2019,1856
3/26/2019,1849.5
3/27/2019,1898.5
3/28/2019,1896.5
3/29/2019,1900
4/1/2019,1888
4/2/2019,1858
4/3/2019,1865
4/4/2019,1872
4/5/2019,1864
4/8/2019,1858.5
4/9/2019,1851
4/10/2019,1852
4/11/2019,1847.5
4/12/2019,1843.5
4/15/2019,1843.5
4/16/2019,1839
4/17/2019,1840.5
4/18/2019,1839
4/23/2019,1855
4/24/2019,1854
4/25/2019,1852
4/26/2019,1832
4/29/2019,1816
4/30/2019,1809
5/1/2019,1775.5
5/2/2019,1800.5
5/3/2019,1783.5
5/7/2019,1767
5/8/2019,1761
5/9/2019,1766.5
5/10/2019,1765
5/13/2019,1765.5
5/14/2019,1792
5/15/2019,1802
5/16/2019,1832
5/17/2019,1805
5/20/2019,1786
5/21/2019,1766
5/22/2019,1747
5/23/2019,1740
5/24/2019,1761.5
5/28/2019,1773
5/29/2019,1770
5/30/2019,1762
5/31/2019,1761
6/3/2019,1763.5
6/4/2019,1751.5
6/5/2019,1766
6/6/2019,1742.5
6/7/2019,1733
6/10/2019,1720.5
6/11/2019,1754.5
6/12/2019,1753.5
6/13/2019,1756
6/14/2019,1737.5
6/17/2019,1719.5
6/18/2019,1733
6/19/2019,1746.5
6/20/2019,1778
6/21/2019,1743.5
6/24/2019,1747.5
6/25/2019,1776.5
6/26/2019,1803
6/27/2019,1782
6/28/2019,1773.5
7/1/2019,1778
7/2/2019,1755.5
7/3/2019,1754.5
7/4/2019,1771.5
7/5/2019,1779.5
7/8/2019,1783
7/9/2019,1783
7/10/2019,1811.5
7/11/2019,1807
7/12/2019,1799.5
7/15/2019,1810
7/16/2019,1818
7/17/2019,1819
7/18/2019,1827.5
7/19/2019,1833
7/22/2019,1808
7/23/2019,1795
7/24/2019,1795.5
7/25/2019,1795.5
7/26/2019,1778
7/29/2019,1774.5
7/30/2019,1781.5
7/31/2019,1776.5
8/1/2019,1757
8/2/2019,1749
8/5/2019,1739.5
8/6/2019,1740.5
8/7/2019,1728
8/8/2019,1737.5
8/9/2019,1746
8/12/2019,1743
8/13/2019,1731
8/14/2019,1741
8/15/2019,1742.5
8/16/2019,1755.5
8/19/2019,1762.5
8/20/2019,1756.5
8/21/2019,1751
8/22/2019,1739
8/23/2019,1746
8/27/2019,1744
8/28/2019,1724
8/29/2019,1713.5
8/30/2019,1712.5
9/2/2019,1716.5
9/3/2019,1714.5
9/4/2019,1734.5
9/5/2019,1754.5
9/6/2019,1761.5
9/9/2019,1769
9/10/2019,1776
9/11/2019,1792.5
9/12/2019,1774
9/13/2019,1768
9/16/2019,1770.5
9/17/2019,1746.5
9/18/2019,1751
9/19/2019,1762.5
9/20/2019,1766
9/23/2019,1756
9/24/2019,1751.5
9/25/2019,1736
9/26/2019,1724
9/27/2019,1713
9/30/2019,1703.5
10/1/2019,1705.5
10/2/2019,1697
10/3/2019,1697
10/4/2019,1701.5
10/7/2019,1713
10/8/2019,1732
10/9/2019,1729
10/10/2019,1738
10/11/2019,1721
10/14/2019,1704.5
10/15/2019,1702
10/16/2019,1703.5
10/17/2019,1726
