,timestamp,value
395,7/26/2017,1912
396,7/27/2017,1923
397,7/28/2017,1892
398,7/31/2017,1904
399,8/1/2017,1887
400,8/2/2017,1904
401,8/3/2017,1891.5
402,8/4/2017,1890
403,8/7/2017,1920
404,8/8/2017,1981
405,8/9/2017,2018
406,8/10/2017,2024
407,8/11/2017,2040.5
408,8/14/2017,2030
409,8/15/2017,2056
410,8/16/2017,2075
411,8/17/2017,2095.5
412,8/18/2017,2104.5
413,8/21/2017,2084.5
414,8/22/2017,2104.5
415,8/23/2017,2082.5
416,8/24/2017,2105
417,8/25/2017,2096.5
418,8/29/2017,2092
419,8/30/2017,2066.5
420,8/31/2017,2113.5
421,9/1/2017,2113.5
422,9/4/2017,2095.5
423,9/5/2017,2082
424,9/6/2017,2069.5
425,9/7/2017,2075
426,9/8/2017,2072
427,9/11/2017,2100.5
428,9/12/2017,2083
429,9/13/2017,2083
430,9/14/2017,2065
431,9/15/2017,2068
432,9/18/2017,2066.5
433,9/19/2017,2107.5
434,9/20/2017,2164
435,9/21/2017,2154
436,9/22/2017,2137
437,9/25/2017,2128
438,9/26/2017,2116
439,9/27/2017,2117
440,9/28/2017,2102.5
441,9/29/2017,2110.5
442,10/2/2017,2067
443,10/3/2017,2114.5
444,10/4/2017,2139.5
445,10/5/2017,2124
446,10/6/2017,2121.5
447,10/9/2017,2135
448,10/10/2017,2133
449,10/11/2017,2124
450,10/12/2017,2117.5
451,10/13/2017,2140
452,10/16/2017,2144
453,10/17/2017,2111
454,10/18/2017,2106.5
455,10/19/2017,2128.5
456,10/20/2017,2159
457,10/23/2017,2133.5
458,10/24/2017,2144
459,10/25/2017,2149.5
460,10/26/2017,2175
461,10/27/2017,2119
462,10/30/2017,2143
463,10/31/2017,2140
464,11/1/2017,2188
465,11/2/2017,2152
466,11/3/2017,2165
467,11/6/2017,2152
468,11/7/2017,2131
469,11/8/2017,2103.5
470,11/9/2017,2078
471,11/10/2017,2090
472,11/13/2017,2100
473,11/14/2017,2085
474,11/15/2017,2082
475,11/16/2017,2106
476,11/17/2017,2077
477,11/20/2017,2067.5
478,11/21/2017,2062
479,11/22/2017,2085
480,11/23/2017,2090
481,11/24/2017,2104
482,11/27/2017,2109.5
483,11/28/2017,2100
484,11/29/2017,2062
485,11/30/2017,2033
486,12/1/2017,2046.5
487,12/4/2017,2052.5
488,12/5/2017,2052
489,12/6/2017,2028.5
490,12/7/2017,1994
491,12/8/2017,1992
492,12/11/2017,1991.5
493,12/12/2017,2004
494,12/13/2017,1997
495,12/14/2017,2017
496,12/15/2017,2036
497,12/18/2017,2047.5
498,12/19/2017,2061
499,12/20/2017,2092
500,12/21/2017,2108.5
501,12/22/2017,2137
502,12/27/2017,2199.5
503,12/28/2017,2246
504,12/29/2017,2241.5
505,1/2/2018,2256
506,1/3/2018,2241
507,1/4/2018,2230
508,1/5/2018,2205.5
509,1/8/2018,2177.5
510,1/9/2018,2143.5
511,1/10/2018,2159
512,1/11/2018,2179
513,1/12/2018,2215
514,1/15/2018,2227.5
515,1/16/2018,2172
516,1/17/2018,2187
517,1/18/2018,2225
518,1/19/2018,2256
519,1/22/2018,2235
520,1/23/2018,2213.5
521,1/24/2018,2216
522,1/25/2018,2237.5
523,1/26/2018,2238
524,1/29/2018,2251.5
525,1/30/2018,2229
526,1/31/2018,2224.5
527,2/1/2018,2218
528,2/2/2018,2228
529,2/5/2018,2202
530,2/6/2018,2196
531,2/7/2018,2181.5
532,2/8/2018,2168
533,2/9/2018,2142
534,2/12/2018,2129.5
535,2/13/2018,2123.5
536,2/14/2018,2138
537,2/15/2018,2164
538,2/16/2018,2189.5
539,2/19/2018,2266
540,2/20/2018,2239
541,2/21/2018,2190
542,2/22/2018,2194
543,2/23/2018,2210
544,2/26/2018,2188.5
545,2/27/2018,2172.5
546,2/28/2018,2158.5
547,3/1/2018,2143
548,3/2/2018,2144
549,3/5/2018,2135
550,3/6/2018,2136
551,3/7/2018,2112.5
552,3/8/2018,2082.5
553,3/9/2018,2078.5
554,3/12/2018,2097
555,3/13/2018,2080
556,3/14/2018,2096
557,3/15/2018,2062.5
558,3/16/2018,2069
559,3/19/2018,2070.5
560,3/20/2018,2073
561,3/21/2018,2056.5
562,3/22/2018,2059
563,3/23/2018,2049
564,3/26/2018,2022
565,3/27/2018,2035
566,3/28/2018,2009
567,3/29/2018,1997
568,4/3/2018,2010
569,4/4/2018,1972
570,4/5/2018,1969
571,4/6/2018,1967
572,4/9/2018,2113
573,4/10/2018,2171.5
574,4/11/2018,2253
575,4/12/2018,2220.5
576,4/13/2018,2325
577,4/16/2018,2358.5
578,4/17/2018,2375.5
579,4/18/2018,2528.5
580,4/19/2018,2602.5
581,4/20/2018,2463
582,4/23/2018,2452
583,4/24/2018,2222
584,4/25/2018,2248
585,4/26/2018,2204
586,4/27/2018,2249
587,4/30/2018,2224
588,5/1/2018,2258
589,5/2/2018,2269
590,5/3/2018,2349
591,5/4/2018,2316
592,5/8/2018,2384
593,5/9/2018,2295
594,5/10/2018,2327
595,5/11/2018,2273.5
596,5/14/2018,2285.5
597,5/15/2018,2313
598,5/16/2018,2319.5
599,5/17/2018,2280
600,5/18/2018,2297
601,5/21/2018,2278.5
602,5/22/2018,2265.5
603,5/23/2018,2227
604,5/24/2018,2271
605,5/25/2018,2282
606,5/29/2018,2260
607,5/30/2018,2265.5
608,5/31/2018,2285.5
609,6/1/2018,2271
610,6/4/2018,2324.5
611,6/5/2018,2314.5
612,6/6/2018,2317.5
613,6/7/2018,2331
614,6/8/2018,2287.5
615,6/11/2018,2300
616,6/12/2018,2309
617,6/13/2018,2278
618,6/14/2018,2277.5
619,6/15/2018,2239.5
620,6/18/2018,2220.5
621,6/19/2018,2179
622,6/20/2018,2179
623,6/21/2018,2167
624,6/22/2018,2166
625,6/25/2018,2172
626,6/26/2018,2152
627,6/27/2018,2204.5
628,6/28/2018,2173
629,6/29/2018,2183
630,7/2/2018,2153
631,7/3/2018,2165
632,7/4/2018,2120.5
633,7/5/2018,2127
634,7/6/2018,2098.5
635,7/9/2018,2135.5
636,7/10/2018,2140.5
637,7/11/2018,2120.5
638,7/12/2018,2104.5
639,7/13/2018,2102
640,7/16/2018,2130
641,7/17/2018,2110
642,7/18/2018,2040
643,7/19/2018,2062
644,7/20/2018,2075
645,7/23/2018,2130
646,7/24/2018,2082
647,7/25/2018,2056.5
648,7/26/2018,2054
649,7/27/2018,2055
650,7/30/2018,2054
651,7/31/2018,2061
652,8/1/2018,2036
653,8/2/2018,2023
654,8/3/2018,2016
655,8/6/2018,2000.5
656,8/7/2018,2026.5
657,8/8/2018,2022
658,8/9/2018,2118
659,8/10/2018,2039
660,8/13/2018,2052
661,8/14/2018,2038
662,8/15/2018,1994.5
663,8/16/2018,1998
664,8/17/2018,1999
665,8/20/2018,2033
666,8/21/2018,2040.5
667,8/22/2018,2038.5
668,8/23/2018,2021.5
669,8/24/2018,2062
670,8/28/2018,2088
671,8/29/2018,2116
672,8/30/2018,2127
673,8/31/2018,2112
674,9/3/2018,2083.5
675,9/4/2018,2040
676,9/5/2018,2046
