,timestamp,value
297,2017-03-06,1868
298,2017-03-07,1858
299,2017-03-08,1881
300,2017-03-09,1847
301,2017-03-10,1885
302,2017-03-13,1882
303,2017-03-14,1851
304,2017-03-15,1863
305,2017-03-16,1895
306,2017-03-17,1901
307,2017-03-20,1908
308,2017-03-21,1918
309,2017-03-22,1910
310,2017-03-23,1913
311,2017-03-24,1918
312,2017-03-27,1916
313,2017-03-28,1919
314,2017-03-29,1931
315,2017-03-30,1955
316,2017-03-31,1947
317,2017-04-03,1949
318,2017-04-04,1938
319,2017-04-05,1962
320,2017-04-06,1956
321,2017-04-07,1930
322,2017-04-10,1929
323,2017-04-11,1908
324,2017-04-12,1907
325,2017-04-13,1890
326,2017-04-18,1916
327,2017-04-19,1896
328,2017-04-20,1933
329,2017-04-21,1933
330,2017-04-24,1928
331,2017-04-25,1943
332,2017-04-26,1958
333,2017-04-27,1955
334,2017-04-28,1930
335,2017-05-02,1909
336,2017-05-03,1916
337,2017-05-04,1910
338,2017-05-05,1907
339,2017-05-08,1879
340,2017-05-09,1874
341,2017-05-10,1870
342,2017-05-11,1887
343,2017-05-12,1880
344,2017-05-15,1900
345,2017-05-16,1915
346,2017-05-17,1928
347,2017-05-18,1905
348,2017-05-19,1938
349,2017-05-22,1943
350,2017-05-23,1926
351,2017-05-24,1944
352,2017-05-25,1954
353,2017-05-26,1950
354,2017-05-30,1944
355,2017-05-31,1920
356,2017-06-01,1930
357,2017-06-02,1917
358,2017-06-05,1918
359,2017-06-06,1893
360,2017-06-07,1904
361,2017-06-08,1903
362,2017-06-09,1902
363,2017-06-12,1888
364,2017-06-13,1877
365,2017-06-14,1887
366,2017-06-15,1864
367,2017-06-16,1861
368,2017-06-19,1862
369,2017-06-20,1889
370,2017-06-21,1866
371,2017-06-22,1872
372,2017-06-23,1868
373,2017-06-26,1855
374,2017-06-27,1862
375,2017-06-28,1886
376,2017-06-29,1898
377,2017-06-30,1909
378,2017-07-03,1918
379,2017-07-04,1904
380,2017-07-05,1913
381,2017-07-06,1926
382,2017-07-07,1920
383,2017-07-10,1914
384,2017-07-11,1879
385,2017-07-12,1877
386,2017-07-13,1911
387,2017-07-14,1904
388,2017-07-17,1901
389,2017-07-18,1887
390,2017-07-19,1907
391,2017-07-20,1898
392,2017-07-21,1901
393,2017-07-24,1890
394,2017-07-25,1897
395,2017-07-26,1912
396,2017-07-27,1923
397,2017-07-28,1892
398,2017-07-31,1904
399,2017-08-01,1887
400,2017-08-02,1904
401,2017-08-03,1892
402,2017-08-04,1890
403,2017-08-07,1920
404,2017-08-08,1981
405,2017-08-09,2018
406,2017-08-10,2024
407,2017-08-11,2041
408,2017-08-14,2030
409,2017-08-15,2056
410,2017-08-16,2075
411,2017-08-17,2096
412,2017-08-18,2105
413,2017-08-21,2085
414,2017-08-22,2105
415,2017-08-23,2083
416,2017-08-24,2105
417,2017-08-25,2097
418,2017-08-29,2092
419,2017-08-30,2067
420,2017-08-31,2114
421,2017-09-01,2114
422,2017-09-04,2096
423,2017-09-05,2082
424,2017-09-06,2070
425,2017-09-07,2075
426,2017-09-08,2072
427,2017-09-11,2101
428,2017-09-12,2083
429,2017-09-13,2083
430,2017-09-14,2065
431,2017-09-15,2068
432,2017-09-18,2067
433,2017-09-19,2108
434,2017-09-20,2164
435,2017-09-21,2154
436,2017-09-22,2137
437,2017-09-25,2128
438,2017-09-26,2116
439,2017-09-27,2117
440,2017-09-28,2103
441,2017-09-29,2111
442,2017-10-02,2067
443,2017-10-03,2115
444,2017-10-04,2140
445,2017-10-05,2124
446,2017-10-06,2122
447,2017-10-09,2135
448,2017-10-10,2133
449,2017-10-11,2124
450,2017-10-12,2118
451,2017-10-13,2140
452,2017-10-16,2144
453,2017-10-17,2111
454,2017-10-18,2107
455,2017-10-19,2129
456,2017-10-20,2159
457,2017-10-23,2134
458,2017-10-24,2144
459,2017-10-25,2150
460,2017-10-26,2175
461,2017-10-27,2119
462,2017-10-30,2143
463,2017-10-31,2140
464,2017-11-01,2188
465,2017-11-02,2152
466,2017-11-03,2165
467,2017-11-06,2152
468,2017-11-07,2131
469,2017-11-08,2104
470,2017-11-09,2078
471,2017-11-10,2090
472,2017-11-13,2100
473,2017-11-14,2085
474,2017-11-15,2082
475,2017-11-16,2106
476,2017-11-17,2077
477,2017-11-20,2068
478,2017-11-21,2062
479,2017-11-22,2085
480,2017-11-23,2090
481,2017-11-24,2104
482,2017-11-27,2110
483,2017-11-28,2100
484,2017-11-29,2062
485,2017-11-30,2033
486,2017-12-01,2047
487,2017-12-04,2053
488,2017-12-05,2052
489,2017-12-06,2029
490,2017-12-07,1994
491,2017-12-08,1992
492,2017-12-11,1992
493,2017-12-12,2004
494,2017-12-13,1997
495,2017-12-14,2017
496,2017-12-15,2036
497,2017-12-18,2048
498,2017-12-19,2061
499,2017-12-20,2092
500,2017-12-21,2109
501,2017-12-22,2137
502,2017-12-27,2200
503,2017-12-28,2246
504,2017-12-29,2242
505,2018-01-02,2256
506,2018-01-03,2241
507,2018-01-04,2230
508,2018-01-05,2206
509,2018-01-08,2178
510,2018-01-09,2144
511,2018-01-10,2159
512,2018-01-11,2179
513,2018-01-12,2215
514,2018-01-15,2228
515,2018-01-16,2172
516,2018-01-17,2187
517,2018-01-18,2225
518,2018-01-19,2256
519,2018-01-22,2235
520,2018-01-23,2214
521,2018-01-24,2216
522,2018-01-25,2238
523,2018-01-26,2238
524,2018-01-29,2252
525,2018-01-30,2229
526,2018-01-31,2225
527,2018-02-01,2218
528,2018-02-02,2228
529,2018-02-05,2202
530,2018-02-06,2196
531,2018-02-07,2182
532,2018-02-08,2168
533,2018-02-09,2142
534,2018-02-12,2130
535,2018-02-13,2124
536,2018-02-14,2138
537,2018-02-15,2164
538,2018-02-16,2190
539,2018-02-19,2266
540,2018-02-20,2239
541,2018-02-21,2190
542,2018-02-22,2194
543,2018-02-23,2210
544,2018-02-26,2189
545,2018-02-27,2173
546,2018-02-28,2159
547,2018-03-01,2143
548,2018-03-02,2144
549,2018-03-05,2135
550,2018-03-06,2136
551,2018-03-07,2113
552,2018-03-08,2083
553,2018-03-09,2079
554,2018-03-12,2097
555,2018-03-13,2080
556,2018-03-14,2096
557,2018-03-15,2063
558,2018-03-16,2069
559,2018-03-19,2071
560,2018-03-20,2073
561,2018-03-21,2057
562,2018-03-22,2059
563,2018-03-23,2049
564,2018-03-26,2022
565,2018-03-27,2035
566,2018-03-28,2009
567,2018-03-29,1997
568,2018-04-03,2010
569,2018-04-04,1972
570,2018-04-05,1969
571,2018-04-06,1967
572,2018-04-09,2113
573,2018-04-10,2172
574,2018-04-11,2253
575,2018-04-12,2221
576,2018-04-13,2325
577,2018-04-16,2359
578,2018-04-17,2376
579,2018-04-18,2529
580,2018-04-19,2603
581,2018-04-20,2463
582,2018-04-23,2452
583,2018-04-24,2222
584,2018-04-25,2248
585,2018-04-26,2204
586,2018-04-27,2249
587,2018-04-30,2224
588,2018-05-01,2258
589,2018-05-02,2269
590,2018-05-03,2349
591,2018-05-04,2316
592,2018-05-08,2384
593,2018-05-09,2295
594,2018-05-10,2327
595,2018-05-11,2274
596,2018-05-14,2286
597,2018-05-15,2313
598,2018-05-16,2320
599,2018-05-17,2280
600,2018-05-18,2297
601,2018-05-21,2279
602,2018-05-22,2266
603,2018-05-23,2227
604,2018-05-24,2271
605,2018-05-25,2282
606,2018-05-29,2260
607,2018-05-30,2266
608,2018-05-31,2286
609,2018-06-01,2271
610,2018-06-04,2325
611,2018-06-05,2315
612,2018-06-06,2318
613,2018-06-07,2331
614,2018-06-08,2288
615,2018-06-11,2300
616,2018-06-12,2309
617,2018-06-13,2278
618,2018-06-14,2278
619,2018-06-15,2240
620,2018-06-18,2221
621,2018-06-19,2179
622,2018-06-20,2179
623,2018-06-21,2167
624,2018-06-22,2166
625,2018-06-25,2172
626,2018-06-26,2152
627,2018-06-27,2205
628,2018-06-28,2173
629,2018-06-29,2183
